problem_id,turn,is_correct
aime_2025_0,1,1.0
aime_2025_0,2,0.984375
aime_2025_0,3,0.96875
aime_2025_0,4,0.96875
aime_2025_0,5,0.96875
aime_2025_0,6,0.984375
aime_2025_0,7,0.984375
aime_2025_0,8,1.0
aime_2025_0,9,1.0
aime_2025_0,10,0.984375
aime_2025_1,1,0.96875
aime_2025_1,2,0.953125
aime_2025_1,3,0.90625
aime_2025_1,4,0.90625
aime_2025_1,5,0.96875
aime_2025_1,6,0.96875
aime_2025_1,7,0.921875
aime_2025_1,8,1.0
aime_2025_1,9,0.90625
aime_2025_1,10,0.921875
aime_2025_10,1,0.6875
aime_2025_10,2,0.671875
aime_2025_10,3,0.71875
aime_2025_10,4,0.6875
aime_2025_10,5,0.765625
aime_2025_10,6,0.796875
aime_2025_10,7,0.703125
aime_2025_10,8,0.703125
aime_2025_10,9,0.78125
aime_2025_10,10,0.796875
aime_2025_11,1,0.6875
aime_2025_11,2,0.75
aime_2025_11,3,0.578125
aime_2025_11,4,0.6875
aime_2025_11,5,0.75
aime_2025_11,6,0.734375
aime_2025_11,7,0.6875
aime_2025_11,8,0.75
aime_2025_11,9,0.734375
aime_2025_11,10,0.65625
aime_2025_12,1,0.234375
aime_2025_12,2,0.296875
aime_2025_12,3,0.15625
aime_2025_12,4,0.28125
aime_2025_12,5,0.328125
aime_2025_12,6,0.3125
aime_2025_12,7,0.265625
aime_2025_12,8,0.1875
aime_2025_12,9,0.234375
aime_2025_12,10,0.234375
aime_2025_13,1,0.015625
aime_2025_13,2,0.03125
aime_2025_13,3,0.03125
aime_2025_13,4,0.015625
aime_2025_13,5,0.015625
aime_2025_13,6,0.03125
aime_2025_13,7,0.015625
aime_2025_13,8,0.03125
aime_2025_13,9,0.0
aime_2025_13,10,0.0
aime_2025_14,1,0.03125
aime_2025_14,2,0.0
aime_2025_14,3,0.0
aime_2025_14,4,0.0
aime_2025_14,5,0.0
aime_2025_14,6,0.0
aime_2025_14,7,0.0
aime_2025_14,8,0.0
aime_2025_14,9,0.0
aime_2025_14,10,0.0
aime_2025_15,1,1.0
aime_2025_15,2,0.953125
aime_2025_15,3,0.96875
aime_2025_15,4,0.984375
aime_2025_15,5,0.96875
aime_2025_15,6,0.984375
aime_2025_15,7,0.96875
aime_2025_15,8,0.984375
aime_2025_15,9,0.984375
aime_2025_15,10,0.96875
aime_2025_16,1,1.0
aime_2025_16,2,0.984375
aime_2025_16,3,0.96875
aime_2025_16,4,0.96875
aime_2025_16,5,0.984375
aime_2025_16,6,0.953125
aime_2025_16,7,1.0
aime_2025_16,8,0.984375
aime_2025_16,9,1.0
